Produto,Preço (R$),Estoque,Fornecedor
Placa de Vídeo,496.73,16,Casa Grande
Mouse,3706.05,30,Azevedo
HD Externo,7605.31,29,Silveira Pires e Filhos
SSD,6661.5,36,Machado
Placa de Vídeo,7187.94,48,Rodrigues
Placa de Vídeo,3655.55,49,da Conceição
Monitor,6734.92,18,Marques - ME
Placa de Vídeo,5051.31,18,Rios
Placa de Vídeo,712.12,19,Correia
Monitor,2246.55,21,Casa Grande S.A.
Mouse,1193.16,15,Marques - EI
SSD,5582.2,46,Pimenta Silva S.A.
Monitor,607.41,27,Garcia
HD Externo,4386.63,27,Silveira
Notebook,1733.99,27,Costa
SSD,7248.22,38,Ferreira
Notebook,6868.18,49,das Neves
SSD,3868.14,23,Pacheco
Impressora,6052.45,27,Pires
Monitor,3957.01,18,Barbosa S/A
SSD,3936.57,25,Casa Grande
HD Externo,5384.1,26,Barbosa Ltda.
Teclado,6739.99,9,Moreira
Notebook,7264.74,38,Cavalcanti
Notebook,763.18,28,Fernandes
Teclado,6948.13,12,Montenegro
Notebook,2155.23,21,Sales
Monitor,3692.12,22,Garcia Ltda.
SSD,2298.23,27,Almeida Aparecida - ME
Impressora,6695.8,31,Vargas
Notebook,6017.29,4,Sales
HD Externo,1871.36,5,Cunha
Notebook,6058.44,16,Nogueira
Monitor,6729.91,40,Melo da Rosa - EI
Teclado,1984.51,31,Moraes
Mouse,4555.36,14,Sampaio
Placa de Vídeo,5625.77,50,Pinto
HD Externo,1425.53,39,Borges
Mouse,6244.56,11,Montenegro S.A.
Impressora,953.98,2,Mendonça
Impressora,4648.79,25,Silva Moura S/A
SSD,7537.62,13,Peixoto Rodrigues S.A.
Mouse,4777.57,41,Leão S.A.
Monitor,905.02,50,Santos Ribeiro - ME
Impressora,6817.32,39,Cirino
Mouse,6390.2,37,Fogaça S/A
Notebook,2842.91,28,Cirino
HD Externo,644.76,42,Guerra Garcia Ltda.
HD Externo,199.95,27,Silveira - EI
Placa de Vídeo,933.76,24,Campos
Placa de Vídeo,5687.74,28,Cavalcante
Teclado,5896.98,42,Alves
Impressora,4965.71,35,Dias e Filhos
Placa de Vídeo,3772.5,47,Leão e Filhos
Impressora,2646.21,16,Aparecida
Mouse,2303.53,29,Alves
Monitor,6028.76,37,da Conceição da Cunha e Filhos
SSD,2757.53,32,Porto S/A
HD Externo,1536.53,14,da Mota S/A
HD Externo,6402.88,22,Borges S.A.
Impressora,7054.53,45,Mendonça
Impressora,4490.75,34,Ribeiro
Monitor,776.34,47,Albuquerque
SSD,3959.76,49,Gomes
Monitor,5555.81,42,Teixeira
Placa de Vídeo,3640.58,2,Fernandes - ME
Mouse,2424.46,26,Freitas
Monitor,2519.03,38,Cavalcante
HD Externo,3838.76,34,Barros
HD Externo,3461.48,48,Rodrigues
HD Externo,2879.3,30,Casa Grande e Filhos
Impressora,2522.32,15,Marques Ltda.
Mouse,5798.15,21,Azevedo Macedo S/A
Mouse,5968.76,49,Farias
Teclado,1613.17,48,Gonçalves
Placa de Vídeo,2284.35,38,da Rosa das Neves Ltda.
Impressora,7846.03,13,Ramos
Impressora,1897.12,12,Brito
Impressora,211.77,35,da Mota
Teclado,2267.06,4,Fonseca
Impressora,5609.6,9,Albuquerque
Placa de Vídeo,910.44,1,Cavalcante Macedo S.A.
Impressora,3808.24,29,Azevedo S/A
HD Externo,1556.47,4,Jesus
Impressora,7534.4,31,Gonçalves
Mouse,6594.71,26,da Paz S.A.
Placa de Vídeo,685.25,41,Castro Ltda.
Notebook,1298.64,37,Abreu
Impressora,772.93,16,Duarte
Mouse,4508.78,27,Silva da Cruz - EI
Monitor,6227.98,25,Casa Grande
Placa de Vídeo,7277.18,20,da Rosa Martins - ME
SSD,2512.5,40,Pimenta
Notebook,4916.08,48,Oliveira Nascimento e Filhos
Mouse,7585.96,14,Macedo
Monitor,2190.7,6,da Cunha
Teclado,1994.93,36,Siqueira
Mouse,1336.61,27,Câmara
Placa de Vídeo,5546.03,31,Vasconcelos Ltda.
Impressora,357.85,19,Farias
Impressora,5653.6,30,Souza S.A.
Mouse,5530.34,17,Novais
Monitor,3458.6,35,Martins Barbosa - EI
Monitor,5216.31,18,Correia
Teclado,664.14,11,Ferreira
Impressora,4800.85,37,Casa Grande
Impressora,3569.31,30,Pires - ME
Impressora,5627.9,18,Siqueira S/A
Placa de Vídeo,3558.3,39,Oliveira Cassiano - ME
Notebook,7126.44,48,Freitas Lopes Ltda.
HD Externo,4869.34,2,Melo e Filhos
Mouse,1908.5,44,Sampaio
Notebook,7996.62,44,Barros
Impressora,4652.35,49,Sampaio - EI
Teclado,3816.96,42,Guerra Nunes - ME
Placa de Vídeo,7336.98,12,Freitas
SSD,5114.8,32,Castro Fonseca S.A.
Mouse,3813.08,27,Nascimento
HD Externo,2636.36,7,Pastor Ltda.
Teclado,2705.45,45,Sá
Placa de Vídeo,2376.92,26,Sampaio S/A
Notebook,3693.12,21,Borges - EI
Impressora,2653.86,50,Rezende
SSD,6932.79,1,Andrade Garcia Ltda.
Placa de Vídeo,3364.66,13,Fogaça Santos e Filhos
HD Externo,5018.81,32,Lopes Macedo - EI
Placa de Vídeo,6103.93,14,Silveira da Costa e Filhos
Impressora,4438.84,19,Azevedo Pastor - ME
Placa de Vídeo,7058.69,32,Melo S.A.
Mouse,328.07,41,Fernandes
Monitor,5707.28,20,Santos Novaes - EI
Notebook,4462.79,6,Araújo
Monitor,7938.83,8,Caldeira S/A
Placa de Vídeo,7581.78,42,Macedo
Teclado,4037.17,46,da Luz Santos e Filhos
Impressora,4120.09,18,Freitas
SSD,6694.32,31,Fogaça Vieira S.A.
Monitor,3708.61,10,Pinto da Mota - EI
SSD,1605.82,39,Ribeiro
Teclado,6925.81,18,Barros Pereira Ltda.
SSD,2785.01,33,Gonçalves
Impressora,6582.34,19,da Costa S/A
Impressora,6716.06,38,Cassiano e Filhos
Placa de Vídeo,6935.56,29,Nascimento
Placa de Vídeo,2826.48,36,Santos - ME
SSD,3697.22,21,da Cunha S.A.
Monitor,7848.12,16,Siqueira
SSD,1945.14,50,Correia
SSD,444.81,48,Vargas - EI
Placa de Vídeo,5671.3,25,Aparecida - ME
SSD,7908.47,42,Siqueira
Teclado,4013.1,3,da Luz Ltda.
Teclado,4068.1,38,Machado Machado Ltda.
HD Externo,6970.63,29,da Paz Santos - ME
Mouse,4255.01,30,Rios das Neves S.A.
Notebook,5807.31,27,Brito - EI
Teclado,691.14,17,Peixoto
HD Externo,5023.75,26,Azevedo Santos S/A
Mouse,6828.95,44,Nogueira
SSD,7637.7,41,Rezende S.A.
Placa de Vídeo,6991.83,3,Vargas
Mouse,1954.68,44,Cassiano
Impressora,7979.66,48,Gonçalves S/A
Mouse,3528.37,7,Silveira
Mouse,3605.06,45,Cassiano Barbosa - ME
Impressora,7237.05,3,Cunha - ME
HD Externo,6389.53,19,da Costa Vasconcelos - EI
HD Externo,3061.24,10,Souza S/A
Monitor,4296.21,37,Nogueira S/A
Teclado,1442.87,6,Sá - ME
SSD,4995.71,16,Nunes Dias - EI
Placa de Vídeo,7311.35,10,Ramos
Monitor,3743.08,17,Montenegro Duarte - ME
Placa de Vídeo,2117.08,1,Pires
Placa de Vídeo,7219.55,44,Machado Ramos S/A
Teclado,683.51,23,Melo Ramos - ME
Impressora,5147.62,28,da Luz - ME
Impressora,3709.0,20,Rios - ME
Monitor,7995.05,31,Siqueira
Mouse,1973.93,37,Borges - ME
HD Externo,4641.01,45,Lopes
Impressora,273.32,43,Fernandes Abreu - EI
SSD,2268.4,37,Pastor Abreu Ltda.
Notebook,7293.87,48,Brito
Placa de Vídeo,6679.43,19,Farias Cassiano - ME
Monitor,4895.81,23,da Mata Porto - EI
Monitor,5129.28,40,Câmara
Impressora,5454.34,47,Viana Ltda.
Teclado,5063.16,41,Cassiano
Notebook,2540.57,29,Pereira Mendes S.A.
Notebook,4678.63,47,Moreira Farias Ltda.
Teclado,812.05,19,Borges S/A
HD Externo,6005.1,12,Ferreira e Filhos
Monitor,1144.06,35,Barbosa
HD Externo,4293.73,18,Montenegro
Teclado,2130.06,31,Sá
Impressora,5997.82,22,Sales
Mouse,3799.82,5,da Cruz
Teclado,6057.8,15,da Rosa Ltda.
SSD,7741.43,36,Pastor
HD Externo,813.39,26,Cassiano
Notebook,2189.22,8,Peixoto
Placa de Vídeo,3011.83,48,Oliveira Ltda.
Impressora,4718.02,41,Araújo
HD Externo,955.93,15,Machado
Placa de Vídeo,297.69,36,Albuquerque Mendes S.A.
HD Externo,7330.52,15,Rocha Sampaio S/A
Mouse,5119.69,30,Pires
Impressora,5228.99,8,Garcia S.A.
Teclado,458.24,3,Mendonça
Impressora,7967.83,8,Gomes
Mouse,1954.92,35,Vieira e Filhos
Teclado,3170.3,24,da Mata
SSD,4739.99,47,da Rocha
Teclado,7094.77,42,Andrade Sousa S.A.
Mouse,6686.18,40,Vasconcelos
SSD,7518.52,18,Cardoso Melo Ltda.
Notebook,5553.22,14,Campos
Placa de Vídeo,3613.1,16,Aragão Sousa - EI
HD Externo,884.9,44,Nunes
HD Externo,4401.28,42,Almeida
HD Externo,578.35,18,Campos
Monitor,7748.83,30,da Conceição
Mouse,5335.87,42,Sá
Notebook,499.57,22,Cavalcanti
Monitor,7911.69,37,Cardoso Ltda.
Monitor,642.02,49,Camargo
Monitor,4732.43,15,Macedo Ltda.
HD Externo,6217.51,39,Fogaça
Notebook,2290.47,10,Sá S/A
Teclado,4367.7,12,Camargo Freitas Ltda.
Mouse,5322.36,2,Campos
Teclado,217.4,16,Alves
HD Externo,224.67,17,da Paz
Notebook,1101.39,27,Machado e Filhos
Mouse,5990.76,31,da Rosa S.A.
Placa de Vídeo,6246.33,33,Abreu
Mouse,3670.84,15,Cirino
Notebook,5845.22,43,Moura
Impressora,3718.54,2,Lima Oliveira - EI
Notebook,7988.84,26,Rodrigues
SSD,5520.17,32,Sampaio Caldeira - ME
Placa de Vídeo,680.58,6,Nunes Garcia e Filhos
HD Externo,4905.55,5,Sousa
Teclado,2272.63,41,Abreu Farias - EI
HD Externo,3109.14,39,Pires
Impressora,3684.35,39,Vieira
SSD,883.51,45,Monteiro
Mouse,6837.06,42,Machado
Monitor,3497.55,15,Gomes - ME
SSD,2777.56,30,Guerra - ME
SSD,3386.32,7,Cunha Barros Ltda.
HD Externo,3471.44,43,Correia S.A.
Impressora,3056.98,10,Sales
Placa de Vídeo,630.35,6,Nunes
Mouse,3511.82,48,Andrade
HD Externo,6512.98,36,Marques Gomes Ltda.
Notebook,4733.07,36,Oliveira
HD Externo,5393.1,27,Siqueira
HD Externo,7001.5,49,Almeida - ME
SSD,6957.93,47,Pinto
Notebook,7750.35,39,Alves
Impressora,2878.0,37,Rios
Monitor,1322.37,31,da Rosa da Mota S.A.
Monitor,6793.47,23,Albuquerque
HD Externo,1007.59,18,Rocha
Monitor,6477.05,36,Dias
Notebook,4911.06,43,Rios S.A.
Impressora,328.73,18,Santos
Impressora,7380.15,23,Carvalho - EI
Notebook,1533.1,10,Porto
SSD,649.72,48,Pires
Notebook,824.89,34,Freitas
Monitor,3071.94,30,Duarte - EI
HD Externo,1343.53,20,Caldeira S/A
HD Externo,6237.0,37,Silva Ltda.
Mouse,7078.4,10,Mendes Ltda.
Teclado,6060.04,4,Andrade
Mouse,2249.61,43,da Paz
SSD,3936.73,29,Teixeira Araújo - ME
SSD,2258.02,49,Ramos da Conceição - ME
Mouse,2826.87,8,da Mota S.A.
Impressora,5457.92,38,Guerra e Filhos
Placa de Vídeo,4262.78,20,Ribeiro
Notebook,1842.1,39,Fernandes
Notebook,160.73,20,Barbosa
Monitor,6162.06,49,Ramos Camargo e Filhos
Impressora,2386.63,8,Costela S/A
Notebook,4029.34,28,Caldeira
Teclado,1120.57,35,Vieira S/A
Monitor,4052.07,43,Ramos
HD Externo,669.4,48,Cardoso e Filhos
Notebook,3546.13,30,da Cunha S/A
Mouse,6910.67,37,Peixoto
SSD,4629.86,46,Rezende
SSD,2387.17,26,Camargo
Notebook,7732.98,11,Lima das Neves Ltda.
Placa de Vídeo,6673.0,24,Castro
Mouse,3550.02,7,Vargas
Monitor,3541.84,26,Ferreira
Mouse,3226.56,20,Vieira Pacheco S/A
HD Externo,1850.42,50,Almeida
Teclado,703.4,41,Pimenta Gomes - ME
Mouse,4291.78,13,Cirino
HD Externo,2873.69,42,da Cunha
Teclado,1966.52,10,Nunes Santos e Filhos
Impressora,1658.45,39,da Cruz
Teclado,6105.7,42,Vasconcelos e Filhos
Mouse,1499.45,50,Barbosa
Placa de Vídeo,3765.23,37,Fernandes
Placa de Vídeo,5480.95,37,Oliveira da Luz S/A
HD Externo,6927.55,41,Casa Grande Casa Grande - ME
HD Externo,1292.56,5,da Mota
Placa de Vídeo,3593.44,20,Fogaça
Impressora,4772.22,23,Dias
Mouse,2552.22,29,Pires
Notebook,549.43,19,Moura Oliveira e Filhos
Mouse,5192.87,6,da Mata
SSD,3755.42,36,Nunes Pires e Filhos
Notebook,3652.9,37,Dias Câmara - EI
Monitor,2640.06,31,Fogaça da Cruz Ltda.
Teclado,7666.01,29,da Mota
Mouse,6506.64,22,Barbosa Pimenta - EI
Mouse,4085.94,12,Souza S/A
Notebook,2057.18,29,Pereira
Placa de Vídeo,4240.14,40,Santos Ltda.
Teclado,2974.79,19,Rios
SSD,3329.28,22,Pimenta e Filhos
Notebook,6334.89,42,Guerra
HD Externo,620.7,7,Sá Freitas Ltda.
SSD,2344.76,47,Campos Caldeira Ltda.
Teclado,2733.56,38,Pinto - ME
Teclado,7342.3,20,Rios - ME
SSD,1118.72,46,Andrade
Mouse,2545.7,25,Câmara
HD Externo,6524.16,43,Rios
Mouse,5203.6,28,Pinto
HD Externo,244.02,20,Marques Andrade - ME
Teclado,7614.24,22,Rocha
Placa de Vídeo,1616.84,9,Aparecida Brito - ME
Teclado,709.6,7,Azevedo
Notebook,5329.24,50,Sales Andrade Ltda.
Teclado,4818.25,10,Marques
Teclado,1528.68,45,Rocha S.A.
Teclado,5797.35,3,Garcia
SSD,2977.97,47,Novais - ME
Monitor,7759.75,40,Nogueira
Impressora,6043.89,29,Correia - EI
Monitor,4318.69,20,Marques
Placa de Vídeo,7241.4,13,Vasconcelos
HD Externo,5458.62,37,Silveira Pastor - EI
Placa de Vídeo,3747.27,19,da Rocha S.A.
SSD,4072.96,27,Fonseca
Teclado,6553.44,39,Pimenta S/A
Teclado,6996.72,4,Pimenta
Placa de Vídeo,7005.52,36,Moreira da Mata S.A.
Mouse,5720.07,34,Nogueira S.A.
Mouse,2352.0,49,Albuquerque Ramos e Filhos
Teclado,2255.05,33,Silva
Teclado,6665.27,6,da Conceição Ltda.
Monitor,6551.96,23,Camargo
Notebook,3377.69,26,Alves
HD Externo,1962.65,6,Lopes
HD Externo,1873.86,21,Moraes
Mouse,6729.49,42,Costa
HD Externo,6351.91,9,Silveira
Notebook,2366.35,31,Ramos
Teclado,6094.85,31,Gomes Barbosa e Filhos
Placa de Vídeo,4961.25,6,Farias
Notebook,2121.8,10,Viana
SSD,978.38,19,Pimenta
Monitor,2479.09,4,Barros
Monitor,3416.62,40,Garcia e Filhos
Placa de Vídeo,596.18,32,Moraes
Notebook,5092.44,37,Moraes - ME
Monitor,5776.5,19,Porto S.A.
SSD,112.36,23,Guerra
Monitor,4608.24,12,Marques Araújo - EI
Mouse,4235.53,24,Costela S/A
Mouse,7631.89,35,da Paz
Notebook,3184.58,31,Rocha
Notebook,5121.8,24,Carvalho
Impressora,6003.8,23,Cavalcante Sousa - EI
Mouse,2823.94,47,Leão
Mouse,6194.86,48,Vargas
HD Externo,1153.94,23,Barros Caldeira - ME
HD Externo,6526.72,12,Moraes Almeida e Filhos
Placa de Vídeo,7848.47,31,Porto S.A.
Teclado,6510.83,5,Sousa Cavalcanti - EI
Placa de Vídeo,392.17,13,das Neves
Notebook,6349.76,3,Dias
HD Externo,7473.63,33,Nunes
SSD,7914.07,35,Sampaio S.A.
Placa de Vídeo,2101.18,49,Pacheco Ltda.
Monitor,2360.28,50,Macedo
Notebook,6939.81,22,Araújo
Impressora,1083.35,24,da Mata Ribeiro e Filhos
SSD,7126.94,48,Oliveira Novaes - ME
Placa de Vídeo,7167.64,25,da Cruz Silveira S/A
HD Externo,7792.42,32,Alves Borges - EI
Placa de Vídeo,3002.04,34,da Paz
Impressora,6429.07,47,Sá Rios S/A
SSD,723.52,39,Martins Silva S.A.
Teclado,4409.25,21,Silva S.A.
Mouse,732.54,43,da Conceição
Impressora,2521.32,39,Dias Ltda.
SSD,1416.49,29,Câmara S/A
HD Externo,3632.32,47,Vargas Porto e Filhos
HD Externo,4957.33,28,da Cruz
Impressora,5151.81,4,Leão
Mouse,5402.35,26,Sousa - EI
HD Externo,4153.38,48,Ramos
Teclado,7627.04,10,Duarte e Filhos
Placa de Vídeo,374.91,5,da Paz
Monitor,6250.27,24,Câmara
HD Externo,3124.55,37,Ribeiro Azevedo Ltda.
Notebook,4880.25,44,Rezende Costela e Filhos
Placa de Vídeo,7595.71,24,da Costa Cavalcanti S.A.
Placa de Vídeo,6128.37,37,Castro
Teclado,4282.73,26,Aparecida Cardoso e Filhos
HD Externo,5231.53,16,Barros e Filhos
Mouse,304.72,12,Guerra
Placa de Vídeo,4190.19,36,Sousa
Mouse,2168.04,17,Ribeiro Pires - EI
Placa de Vídeo,1795.11,40,Cavalcanti
Impressora,5582.45,32,Correia
Monitor,1068.84,5,Moura Pimenta Ltda.
Placa de Vídeo,1463.99,46,Rocha Mendonça S.A.
Placa de Vídeo,7978.37,44,da Paz
HD Externo,5375.93,46,Duarte - ME
Mouse,4444.98,19,Lima Alves e Filhos
Impressora,6825.76,46,Macedo
Teclado,6370.2,33,Ramos - ME
Monitor,1058.76,13,Nogueira
Teclado,1970.22,32,Camargo Rezende e Filhos
Notebook,2951.08,37,Camargo
HD Externo,3792.51,36,Abreu Teixeira - EI
Teclado,4934.39,6,Costela
Mouse,2543.4,46,da Mata
Placa de Vídeo,4253.0,50,Rodrigues
SSD,6604.38,5,Pastor Souza S.A.
Teclado,7781.8,42,Mendonça Novais S.A.
Mouse,3654.8,44,Barros S.A.
HD Externo,1113.84,50,Cirino
Teclado,6165.47,9,Araújo S/A
SSD,4072.62,4,Gonçalves S/A
Mouse,4193.01,20,da Cunha
Teclado,1379.54,46,Fonseca
Monitor,2833.58,34,Silva Vasconcelos Ltda.
Impressora,6782.88,17,Sá
Monitor,5116.95,36,Cunha
Impressora,1088.85,20,Siqueira - ME
Mouse,4070.33,11,Pinto Ltda.
Teclado,1452.48,40,Dias Aparecida e Filhos
HD Externo,6755.99,37,Cirino
Notebook,6619.37,2,Campos
Mouse,459.15,42,da Cunha
Impressora,5243.93,50,Porto e Filhos
SSD,4983.06,2,Fonseca
Placa de Vídeo,7123.08,35,Araújo
Impressora,5171.07,20,Melo e Filhos
Placa de Vídeo,2034.54,44,Duarte
SSD,2449.73,5,Moraes Barbosa S.A.
Notebook,1348.84,27,Leão Mendonça e Filhos
Placa de Vídeo,3769.09,22,Pinto - ME
Teclado,2569.4,46,da Costa - EI
HD Externo,5900.18,23,Dias - EI
SSD,1133.05,24,Guerra
Mouse,2621.02,30,Andrade - ME
Mouse,2213.03,16,Rocha - EI
Teclado,864.81,19,Câmara
SSD,6926.89,27,da Luz
Monitor,7705.22,11,Sousa e Filhos
HD Externo,7476.64,47,Cassiano Ltda.
HD Externo,1599.69,11,da Cruz
Placa de Vídeo,7968.16,30,da Costa Ltda.
Placa de Vídeo,7044.7,32,Martins
Notebook,811.39,26,Cardoso
Placa de Vídeo,7736.82,14,Marques
HD Externo,484.4,19,Silva
Placa de Vídeo,4820.4,42,das Neves da Costa e Filhos
Placa de Vídeo,2357.41,1,Rios da Rocha e Filhos
Mouse,3504.33,17,Ribeiro Araújo - EI
HD Externo,6134.47,24,Nunes Teixeira - ME
Notebook,3264.59,37,Vasconcelos Farias - ME
Monitor,2963.94,19,Ferreira S.A.
Mouse,3152.16,29,Vasconcelos Rodrigues - ME
Impressora,6619.96,40,Lima
Mouse,1116.44,7,Peixoto Cavalcanti e Filhos
SSD,3048.27,22,Souza Pinto S.A.
HD Externo,6064.22,13,da Mata Borges S.A.
SSD,4050.62,3,Garcia
Notebook,1182.59,22,Novais da Cunha S/A
Placa de Vídeo,4202.73,10,Machado Nogueira S/A
Teclado,2690.93,40,Garcia - ME
HD Externo,1383.77,40,Vieira e Filhos
Impressora,4790.42,33,Machado Brito - ME
Placa de Vídeo,5699.04,20,Machado S.A.
Placa de Vídeo,6544.42,24,Brito
HD Externo,5423.07,27,Vasconcelos da Luz Ltda.
Impressora,6394.36,47,Vargas
Notebook,4815.59,17,Andrade Monteiro S.A.
Monitor,5799.06,38,Pacheco
Placa de Vídeo,1447.05,41,Rezende
SSD,1267.43,44,Ferreira
Monitor,349.41,45,Pimenta - EI
Mouse,1607.2,29,Cunha e Filhos
HD Externo,3408.36,27,Fonseca Azevedo - EI
Monitor,3341.98,50,Vasconcelos
Placa de Vídeo,6995.26,48,Novais
Notebook,5675.62,34,Jesus
Monitor,4531.01,43,Mendonça
